time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-04T01:24:52.500Z,59.4829,-152.8739,91.7,1.9,ml,,,,0.45,ak,ak0222w7ljyc,2022-03-04T01:30:50.033Z,"55 km WNW of Nanwalek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-04T01:18:41.980Z,34.3135,-116.4481667,9.37,1.11,ml,13,76,0.05858,0.11,ci,ci40199216,2022-03-04T01:22:20.540Z,"22km N of Yucca Valley, CA",earthquake,0.28,0.48,0.18,17,automatic,ci,ci
2022-03-04T01:13:59.670Z,35.6683333,-117.4701667,6.92,1.45,ml,18,112,0.08191,0.17,ci,ci40199208,2022-03-04T01:17:39.907Z,"12km SSW of Searles Valley, CA",earthquake,0.41,0.83,0.167,16,automatic,ci,ci
2022-03-04T01:01:47.847Z,60.8461,-150.5959,41.3,1.6,ml,,,,0.35,ak,ak0222w7gm4g,2022-03-04T01:12:17.988Z,"9 km SSE of Point Possession, Alaska",earthquake,,1,,,automatic,ak,ak
2022-03-04T00:35:47.360Z,38.8271675,-122.8554993,2.47,1.19,md,25,72,0.001137,0.02,nc,nc73700806,2022-03-04T03:01:10.799Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.42,0.03,5,automatic,nc,nc
2022-03-04T00:35:41.460Z,17.9533333333333,-67.0846666666667,11.73,2.54,md,9,253,,0.09,pr,pr71338858,2022-03-04T01:16:13.160Z,"4 km WSW of La Parguera, Puerto Rico",earthquake,0.59,0.24,0.0277676841688494,3,reviewed,pr,pr
2022-03-04T00:09:56.270Z,35.6481667,-117.4081667,5.05,0.02,ml,4,181,0.07566,0.03,ci,ci37400284,2022-03-04T01:06:42.834Z,"13km SSW of Trona, CA",earthquake,0.99,0.9,0.085,2,reviewed,ci,ci
2022-03-04T00:09:38.750Z,35.647,-117.403,4.34,-0.15,ml,5,182,0.07727,0.09,ci,ci40199176,2022-03-04T01:04:37.913Z,"13km S of Trona, CA",earthquake,1.59,1.81,0.036,2,reviewed,ci,ci
2022-03-03T23:56:28.852Z,63.2236,-150.389,108.2,1.4,ml,,,,0.38,ak,ak0222uxcjut,2022-03-04T00:00:45.851Z,"74 km WSW of Cantwell, Alaska",earthquake,,2.2,,,automatic,ak,ak
2022-03-03T23:56:12.090Z,38.7949982,-122.7584991,2.67,0.99,md,26,80,0.005698,0.03,nc,nc73700796,2022-03-04T00:39:19.925Z,"2km N of The Geysers, CA",earthquake,0.25,0.48,0.08,6,automatic,nc,nc
