time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-01T15:36:44.870Z,19.1886672973633,-155.390335083008,31.2800006866455,1.83000004,md,40.0,164.0,,0.119999997,hv,hv72933857,2022-03-01T15:40:08.120Z,"9 km E of Pāhala, Hawaii",earthquake,0.6,0.779999971,0.289999992,9.0,automatic,hv,hv
2022-03-01T15:31:03.690Z,17.939,-66.9875,11.94,1.44,md,3.0,280.0,,0.29,pr,pr71338333,2022-03-01T18:25:01.980Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,2.78,2.03,0.0490631631082283,3.0,reviewed,pr,pr
2022-03-02T15:09:06.820Z,17.9311666666667,-66.8551666666667,11.4,2.13,md,4.0,221.0,,0.1,pr,pr71338553,2022-03-02T15:43:40.760Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.92,2.99,0.0726541015991273,4.0,reviewed,pr,pr
2022-03-02T15:56:26.060Z,38.8356667,-122.805336,2.03,0.85,md,11.0,108.0,0.01202,0.02,nc,nc73700036,2022-03-02T15:58:03.219Z,"7km WNW of Cobb, CA",earthquake,0.39,1.03,,1.0,automatic,nc,nc
2022-03-02T16:15:49.110Z,35.771,-117.5458333,11.47,0.86,ml,7.0,270.0,0.0613,0.18,ci,ci40197944,2022-03-02T16:19:14.562Z,"13km W of Searles Valley, CA",earthquake,1.25,31.61,0.275,8.0,automatic,ci,ci
2022-03-02T16:13:29.380Z,35.6465,-117.5591667,7.17,1.27,ml,11.0,137.0,0.1624,0.1,ci,ci40197936,2022-03-02T16:16:58.058Z,"11km ENE of Ridgecrest, CA",earthquake,0.32,31.61,0.211,14.0,automatic,ci,ci
2022-03-02T16:09:46.970Z,34.2333333,-116.9495,5.71,1.12,ml,24.0,111.0,0.03744,0.24,ci,ci40197928,2022-03-02T16:13:23.450Z,"4km WSW of Big Bear Lake, CA",earthquake,0.53,0.96,0.217,30.0,automatic,ci,ci
2022-03-02T16:00:57.783Z,62.87,-149.9549,81.9,1.5,ml,,,,0.46,ak,ak0222t5b89e,2022-03-02T16:03:38.366Z,"47 km N of Chase, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-03-02T14:44:05.530Z,17.9841666666667,-66.8125,14.22,2.53,md,7.0,154.0,,0.16,pr,pr71338548,2022-03-02T16:05:52.130Z,"1 km SSE of Indios, Puerto Rico",earthquake,0.54,0.98,0.0348222971559708,4.0,reviewed,pr,pr
2022-03-02T14:07:07.570Z,33.5918333,-116.7325,13.27,0.4,ml,12.0,70.0,0.02667,0.14,ci,ci37489181,2022-03-02T16:18:19.312Z,"7km NW of Anza, CA",earthquake,0.41,0.7,0.208,6.0,reviewed,ci,ci
2022-03-02T14:06:56.500Z,33.5928333,-116.7385,12.37,0.47,ml,19.0,51.0,0.02738,0.16,ci,ci40197888,2022-03-02T16:14:11.067Z,"7km NW of Anza, CA",earthquake,0.27,0.52,0.104,12.0,reviewed,ci,ci
2022-03-02T04:38:50.890Z,34.1661667,-117.7138333,9.85,1.08,ml,40.0,45.0,0.04718,0.18,ci,ci40197688,2022-03-02T16:05:51.954Z,"8km N of Claremont, CA",earthquake,0.24,0.4,0.111,16.0,reviewed,ci,ci
2022-03-02T16:35:23.769Z,60.2598,-150.7105,52.0,2.2,ml,,,,0.81,ak,ak0222t5inpj,2022-03-02T16:39:42.302Z,"27 km S of Funny River, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-03-02T16:29:08.780Z,38.7973328,-122.7994995,0.58,0.74,md,16.0,62.0,0.009416,0.03,nc,nc73700046,2022-03-02T16:37:11.043Z,"4km WNW of The Geysers, CA",earthquake,0.21,0.52,0.11,2.0,automatic,nc,nc
